Tiempo: 1, Cantidad de comida en el mapa: 200, UC que murieron: 0, Promedio de inteligencia: 1.12
Tiempo: 11, Cantidad de comida en el mapa: 2170, UC que murieron: 0, Promedio de inteligencia: 1.12
Tiempo: 21, Cantidad de comida en el mapa: 3950, UC que murieron: 0, Promedio de inteligencia: 1.12
Tiempo: 31, Cantidad de comida en el mapa: 5725, UC que murieron: 0, Promedio de inteligencia: 1.12
Tiempo: 41, Cantidad de comida en el mapa: 7410, UC que murieron: 0, Promedio de inteligencia: 1.12
Tiempo: 51, Cantidad de comida en el mapa: 6970, UC que murieron: 0, Promedio de inteligencia: 2.35
Tiempo: 61, Cantidad de comida en el mapa: 7886, UC que murieron: 0, Promedio de inteligencia: 2.66
Tiempo: 71, Cantidad de comida en el mapa: 8932, UC que murieron: 0, Promedio de inteligencia: 2.77
Tiempo: 81, Cantidad de comida en el mapa: 9659, UC que murieron: 0, Promedio de inteligencia: 2.8
Tiempo: 91, Cantidad de comida en el mapa: 10479, UC que murieron: 0, Promedio de inteligencia: 2.96
Tiempo: 101, Cantidad de comida en el mapa: 9120, UC que murieron: 0, Promedio de inteligencia: 2.97
Tiempo: 111, Cantidad de comida en el mapa: 10168, UC que murieron: 0, Promedio de inteligencia: 3.02
Tiempo: 121, Cantidad de comida en el mapa: 11029, UC que murieron: 0, Promedio de inteligencia: 3.08
Tiempo: 131, Cantidad de comida en el mapa: 12050, UC que murieron: 0, Promedio de inteligencia: 3.11
Tiempo: 141, Cantidad de comida en el mapa: 12940, UC que murieron: 0, Promedio de inteligencia: 3.2
Tiempo: 151, Cantidad de comida en el mapa: 10886, UC que murieron: 0, Promedio de inteligencia: 3.2
Tiempo: 161, Cantidad de comida en el mapa: 11971, UC que murieron: 0, Promedio de inteligencia: 3.23
Tiempo: 171, Cantidad de comida en el mapa: 12935, UC que murieron: 0, Promedio de inteligencia: 3.26
Tiempo: 181, Cantidad de comida en el mapa: 13826, UC que murieron: 0, Promedio de inteligencia: 3.27
Tiempo: 191, Cantidad de comida en el mapa: 14687, UC que murieron: 1, Promedio de inteligencia: 3.25
Tiempo: 201, Cantidad de comida en el mapa: 12499, UC que murieron: 0, Promedio de inteligencia: 3.24
Tiempo: 211, Cantidad de comida en el mapa: 13706, UC que murieron: 0, Promedio de inteligencia: 3.22
Tiempo: 221, Cantidad de comida en el mapa: 14899, UC que murieron: 0, Promedio de inteligencia: 3.22
Tiempo: 231, Cantidad de comida en el mapa: 16206, UC que murieron: 0, Promedio de inteligencia: 3.21
Tiempo: 241, Cantidad de comida en el mapa: 17346, UC que murieron: 0, Promedio de inteligencia: 3.21
Tiempo: 251, Cantidad de comida en el mapa: 14643, UC que murieron: 0, Promedio de inteligencia: 3.22
Tiempo: 261, Cantidad de comida en el mapa: 15956, UC que murieron: 0, Promedio de inteligencia: 3.25
Tiempo: 271, Cantidad de comida en el mapa: 16712, UC que murieron: 0, Promedio de inteligencia: 3.29
Tiempo: 281, Cantidad de comida en el mapa: 17461, UC que murieron: 0, Promedio de inteligencia: 3.36
Tiempo: 291, Cantidad de comida en el mapa: 18578, UC que murieron: 1, Promedio de inteligencia: 3.37
Tiempo: 301, Cantidad de comida en el mapa: 15621, UC que murieron: 0, Promedio de inteligencia: 3.36
Tiempo: 311, Cantidad de comida en el mapa: 16865, UC que murieron: 0, Promedio de inteligencia: 3.38
Tiempo: 321, Cantidad de comida en el mapa: 17870, UC que murieron: 0, Promedio de inteligencia: 3.38
Tiempo: 331, Cantidad de comida en el mapa: 18843, UC que murieron: 1, Promedio de inteligencia: 3.38
Tiempo: 341, Cantidad de comida en el mapa: 20194, UC que murieron: 0, Promedio de inteligencia: 3.38
